feedback_id,retailer_id,product_id,sale_id,feedback_date,feedback_type,channel,sentiment,description,status,resolution_details
22,3137,136.0,246,2023-11-05,Quality Issue,Phone,Neutral,Harum molestiae nemo nostrum laudantium illum illo reiciendis facilis quam.,Escalated,
24,3005,,280,2023-11-06,Query,Sales Rep,Positive,Voluptas libero impedit dolor commodi perferendis rerum iste harum cum quae nulla nihil molestiae corrupti quae sed tempore.,Open,
48,3253,136.0,576,2023-11-17,Order Accuracy,Distributor Portal,Positive,Doloremque quibusdam laboriosam mollitia fugit numquam labore temporibus ipsa aspernatur praesentium hic vel debitis iusto laborum.,Closed,Rerum architecto placeat nostrum facilis animi blanditiis ab cumque voluptatum.
57,3044,103.0,651,2023-11-10,Sales Service,Email,Negative,Vitae explicabo adipisci fuga officia cumque hic expedita provident sed molestiae atque nisi.,Closed,Suscipit atque animi quis officiis tempora nesciunt.
75,3423,122.0,897,2023-11-01,Complaint,Sales Rep,Neutral,At dignissimos nemo totam ipsa accusantium doloremque facere totam sint officiis libero rem eveniet accusantium animi corporis reiciendis.,Closed,Voluptate hic veniam dicta ducimus ullam harum impedit amet vero quasi ea.
78,3121,149.0,971,2023-11-06,Delivery Issue,Whatsapp,Positive,Ut eum perferendis molestias ipsam fuga sequi earum consectetur vero maxime necessitatibus dolor quasi.,In Progress,
89,3321,141.0,1066,2023-11-13,Query,Distributor Portal,Negative,Officiis enim earum dolorem dignissimos fuga fugiat nesciunt culpa nesciunt adipisci assumenda maiores fugit sequi hic voluptates.,Open,
116,3333,105.0,1419,2023-11-26,Delivery Issue,Sales Rep,Negative,Odio nobis quia quis consequuntur recusandae atque laudantium atque reprehenderit non natus porro esse iure ut ad quae at.,In Progress,
131,3432,141.0,1594,2023-11-30,Sales Service,Whatsapp,Negative,Repudiandae magnam commodi vitae sapiente corrupti architecto harum magni eius.,Closed,Ducimus error ex quod officiis excepturi assumenda quis impedit blanditiis veritatis.
132,3202,154.0,1610,2023-11-05,Quality Issue,Distributor Portal,Negative,Voluptatem necessitatibus doloribus provident nulla neque rem voluptates error error dolores tempore consequuntur consequatur nisi delectus voluptas.,Closed,Incidunt enim atque repellat quasi ex.
133,3248,,1635,2023-11-26,Complaint,Email,Neutral,Maiores possimus impedit neque officiis expedita similique accusantium exercitationem facere voluptas quisquam assumenda quas reprehenderit vitae.,In Progress,
164,3056,122.0,2060,2023-11-02,Sales Service,Phone,Negative,Minima maiores aliquid officiis molestias nesciunt laboriosam quam a pariatur cum blanditiis corrupti accusamus enim enim corrupti.,Closed,Occaecati laboriosam ipsa minima aperiam explicabo ducimus nemo numquam quibusdam temporibus odio minus.
172,3161,134.0,2229,2023-11-24,Query,Phone,Negative,Beatae vitae illum tempora ipsum qui delectus dolores minima sint occaecati asperiores voluptatum molestias quisquam dicta qui impedit nostrum odit.,Closed,Mollitia a commodi dolores sapiente autem neque et.
175,3057,113.0,2257,2023-11-30,Sales Service,Whatsapp,Neutral,Optio molestias soluta sunt sunt fugit sint error iusto sed distinctio.,In Progress,
178,3364,111.0,2302,2023-11-20,Sales Service,Distributor Portal,Negative,Dolor autem voluptate quod eos ipsam nulla et quisquam.,Open,
237,3088,126.0,3180,2023-11-20,Query,Phone,Neutral,Sapiente aspernatur perferendis odit quasi dignissimos temporibus sint hic totam non accusantium.,Resolved,Iusto exercitationem adipisci vero quibusdam cumque aspernatur cum.
248,3333,,3274,2023-11-24,Quality Issue,Distributor Portal,Neutral,Quasi quibusdam placeat hic est voluptatem iure sapiente laboriosam consequatur sapiente enim magni sint cupiditate quis placeat quasi.,Resolved,Porro alias consequatur placeat neque dolorem neque fugiat nesciunt quod.
254,3358,,3416,2023-11-18,Sales Service,Distributor Portal,Positive,Atque voluptatem aspernatur odit voluptatibus deserunt perferendis quia numquam sed aspernatur at in occaecati provident ut est vero accusantium.,Open,
260,3418,122.0,3530,2023-11-21,Delivery Issue,Phone,Positive,Velit aspernatur libero quidem consequuntur illum quis exercitationem repudiandae iure quae beatae alias laboriosam labore vero quis.,Escalated,
268,3222,101.0,3721,2023-11-01,Delivery Issue,Whatsapp,Neutral,Dicta enim unde odio laboriosam sed incidunt odio accusamus officiis sit consequuntur voluptates debitis sed.,Resolved,Optio autem minima beatae molestiae natus dolores blanditiis et nulla eius sapiente molestias.
399,3422,142.0,5456,2023-11-08,Product Suggestion,Sales Rep,Negative,Neque exercitationem voluptates sequi illum magnam quasi reprehenderit ipsam dolorem itaque nesciunt dolore maiores voluptate.,Resolved,Reiciendis culpa sit delectus ipsam ducimus.
450,3181,148.0,6220,2023-11-21,Product Suggestion,Distributor Portal,Neutral,Doloremque reprehenderit exercitationem aut non dolor impedit odio aspernatur quidem iure.,Resolved,Nisi a quia laudantium culpa accusamus mollitia id.
484,3278,,6679,2023-11-04,Delivery Issue,Sales Rep,Positive,Molestiae sunt expedita in repudiandae molestias harum deserunt voluptates atque fugiat fugit inventore repellendus quo doloribus.,Open,
536,3472,,7276,2023-11-13,Sales Service,Email,Neutral,Culpa voluptatem omnis alias eius ipsa ducimus occaecati occaecati architecto laboriosam nostrum facilis quam tempore illo vitae praesentium.,Escalated,
552,3420,133.0,7612,2023-11-10,Product Suggestion,Phone,Neutral,Vel doloremque repudiandae neque accusamus totam pariatur occaecati esse consequuntur ipsam.,Resolved,Molestiae repellendus eligendi iusto consequatur fugit corporis mollitia architecto dolorum.
586,3168,147.0,8043,2023-11-24,Order Accuracy,Whatsapp,Negative,Iusto labore maxime alias inventore aliquid natus beatae quia distinctio incidunt.,In Progress,
622,3445,123.0,8430,2023-11-04,Query,Whatsapp,Positive,Neque dignissimos voluptatum odit minus illo perferendis cupiditate at.,Resolved,Culpa blanditiis adipisci repudiandae dicta tempore quod repudiandae nobis numquam.
626,3304,119.0,8454,2023-11-30,Sales Service,Email,Positive,Aliquid ex id minima minus eius itaque tenetur provident sequi expedita incidunt nihil earum itaque aliquid.,Open,
634,3113,144.0,8567,2023-11-14,Complaint,Whatsapp,Negative,Sint eveniet dolor aspernatur porro eligendi odit animi tempore ipsum ab nihil temporibus nulla tempore vitae dolore nostrum nihil esse quisquam.,In Progress,
637,3426,137.0,8597,2023-11-05,Query,Whatsapp,Neutral,Placeat architecto quibusdam nostrum expedita sequi asperiores autem commodi consequatur porro minima aliquid officiis explicabo provident eum magnam fuga illo.,Resolved,Officiis tempora voluptates assumenda recusandae neque quo repudiandae reprehenderit quo delectus praesentium.
645,3024,107.0,8758,2023-11-24,Sales Service,Whatsapp,Neutral,Voluptatem sequi a delectus rerum tenetur alias ea provident facilis.,Resolved,Error beatae dicta rem explicabo fugit non.
648,3290,138.0,8786,2023-11-03,Product Suggestion,Whatsapp,Neutral,Expedita est adipisci excepturi fugiat accusamus cumque molestiae quisquam quod alias.,Escalated,
