sale_id,retailer_id,product_id,sale_date,quantity_sold,unit_selling_price,gross_sale_value,discount_amount,net_sale_value,promotion_id,payment_method,distribution_channel,invoice_number
2,3435,151,2024-11-07,266,199.0,52934.0,0.0,52934.0,,UPI,Modern Trade,INV-705174-4762
18,3036,115,2024-11-22,173,20.0,3460.0,0.0,3460.0,,Credit,General Trade,INV-820004-4282
20,3102,147,2024-11-18,147,280.0,41160.0,0.0,41160.0,,UPI,Modern Trade,INV-601556-9320
98,3474,150,2024-11-02,138,150.0,20700.0,0.0,20700.0,,UPI,General Trade,INV-934574-5402
104,3319,115,2024-11-02,877,20.0,17540.0,0.0,17540.0,,UPI,E-commerce,INV-749159-0816
121,3019,110,2024-11-20,2727,280.0,763560.0,0.0,763560.0,,Cheque,Wholesale Distributor,INV-838960-7890
136,3387,138,2024-11-30,1839,120.0,220680.0,0.0,220680.0,,Cash,Modern Trade,INV-752228-7833
161,3223,132,2024-11-26,817,90.0,73530.0,0.0,73530.0,,Bank Transfer,E-commerce,INV-786412-3419
190,3027,148,2024-11-01,1839,190.0,349410.0,0.0,349410.0,,Cash,Modern Trade,INV-310308-6509
213,3167,105,2024-11-09,1175,31.63,41125.0,3956.22,37168.78,507.0,Bank Transfer,Modern Trade,INV-198022-4848
217,3416,111,2024-11-03,992,340.51,446400.0,108609.12,337790.88,520.0,Cash,Modern Trade,INV-752673-7851
226,3431,146,2024-11-27,2970,260.0,772200.0,0.0,772200.0,,UPI,Wholesale Distributor,INV-842000-2719
234,3146,162,2024-11-11,1475,300.0,442500.0,0.0,442500.0,,UPI,Modern Trade,INV-298192-0293
263,3450,127,2024-11-06,171,380.0,64980.0,0.0,64980.0,,Credit,General Trade,INV-815472-9250
285,3230,160,2024-11-25,155,45.0,6975.0,0.0,6975.0,,Credit,General Trade,INV-632727-7901
312,3226,129,2024-11-15,667,50.0,33350.0,0.0,33350.0,,Cash,Modern Trade,INV-831621-4841
313,3121,107,2024-11-26,758,120.0,90960.0,0.0,90960.0,,Bank Transfer,Modern Trade,INV-712291-1923
327,3356,116,2024-11-23,860,75.0,64500.0,0.0,64500.0,,Cheque,Modern Trade,INV-316354-7311
335,3315,134,2024-11-30,64,290.0,18560.0,0.0,18560.0,,Bank Transfer,General Trade,INV-663636-9078
354,3222,115,2024-11-30,195,20.0,3900.0,0.0,3900.0,,Cheque,General Trade,INV-612510-9929
415,3142,149,2024-11-04,1933,150.0,289950.0,0.0,289950.0,,Cash,Wholesale Distributor,INV-162294-1311
442,3330,131,2024-11-24,1820,170.0,309400.0,0.0,309400.0,,Credit,E-commerce,INV-267855-8056
491,3260,108,2024-11-17,24,160.0,3840.0,0.0,3840.0,,Bank Transfer,General Trade,INV-760862-9944
516,3158,101,2024-11-07,279,5.0,1395.0,0.0,1395.0,,Credit,Modern Trade,INV-499688-4561
519,3485,113,2024-11-20,382,210.0,80220.0,0.0,80220.0,,Credit,Modern Trade,INV-562140-7667
551,3167,121,2024-11-22,1254,160.0,200640.0,0.0,200640.0,,Cash,Modern Trade,INV-348088-2760
564,3273,152,2024-11-30,129,255.0,32895.0,0.0,32895.0,,Cash,General Trade,INV-014777-0144
569,3044,110,2024-11-28,1863,280.0,521640.0,0.0,521640.0,,Bank Transfer,Wholesale Distributor,INV-546503-9081
596,3274,159,2024-11-21,183,35.0,6405.0,0.0,6405.0,,Credit,General Trade,INV-951086-3793
601,3312,162,2024-11-03,1974,300.0,592200.0,0.0,592200.0,,UPI,E-commerce,INV-643098-7120
632,3210,114,2024-11-25,1816,10.0,18160.0,0.0,18160.0,,Cheque,Wholesale Distributor,INV-627209-1237
635,3493,131,2024-11-28,866,170.0,147220.0,0.0,147220.0,,Bank Transfer,Modern Trade,INV-570564-9401
637,3085,105,2024-11-28,1978,31.63,69230.0,6659.93,62570.07,507.0,Credit,Modern Trade,INV-915676-2317
713,3059,116,2024-11-25,2687,75.0,201525.0,0.0,201525.0,,Bank Transfer,Wholesale Distributor,INV-760006-6362
