feedback_id,retailer_id,product_id,sale_id,feedback_date,feedback_type,channel,sentiment,description,status,resolution_details
8,3382,162.0,46,2024-01-09,Query,Phone,Negative,Cum nam ratione praesentium voluptatem voluptas expedita iusto occaecati.,Escalated,
26,3070,121.0,293,2024-01-22,Delivery Issue,Sales Rep,Negative,Hic assumenda dicta error eius magnam ipsum delectus sit similique laboriosam dolor iusto architecto sunt ex vel.,Closed,Recusandae voluptate atque perferendis doloribus deleniti voluptate sunt sapiente sed incidunt laudantium blanditiis.
33,3208,160.0,409,2024-01-17,Query,Phone,Positive,Ad molestiae atque ratione natus pariatur officia accusamus eius architecto sit provident possimus iure.,Escalated,
40,3478,118.0,526,2024-01-12,Quality Issue,Phone,Negative,Dolores at magnam accusantium laborum fugit accusamus aperiam reiciendis aspernatur dicta reprehenderit molestias cumque doloribus dignissimos voluptates corporis numquam.,Resolved,Voluptate similique molestias consectetur nesciunt sapiente iste consequatur.
52,3091,139.0,619,2024-01-24,Quality Issue,Phone,Negative,Officiis autem molestias laudantium eos ab ratione voluptas aliquid quaerat.,In Progress,
66,3406,103.0,804,2024-01-12,Quality Issue,Email,Negative,Ratione quibusdam alias unde ipsum veritatis fugit veniam consequuntur fugiat error doloremque nulla amet adipisci eveniet accusantium delectus eos dolore.,Closed,Excepturi dolorem quo sint sapiente corporis quas culpa amet debitis.
70,3405,115.0,852,2024-01-22,Order Accuracy,Email,Neutral,Nulla porro rerum delectus eveniet ipsum sit cumque repellat sed rem quis animi a laudantium eligendi cum ad ut.,Closed,Laudantium placeat culpa alias veritatis ad quibusdam corporis fugit mollitia aspernatur suscipit totam.
136,3491,,1674,2024-01-13,Order Accuracy,Distributor Portal,Neutral,Suscipit neque quo in expedita excepturi et tempora similique repellat quia recusandae possimus reiciendis dolorum libero libero voluptas et.,Open,
137,3002,107.0,1680,2024-01-03,Sales Service,Email,Negative,Corrupti nam molestias explicabo explicabo earum dolorum odit quis.,Closed,Voluptate ea optio officiis cum voluptas.
138,3403,128.0,1681,2024-01-05,Query,Email,Neutral,Voluptatum porro iusto aspernatur ducimus eligendi ipsa incidunt non optio ducimus delectus itaque.,Open,
151,3274,110.0,1896,2024-01-27,Sales Service,Phone,Negative,Accusamus tempore molestias delectus exercitationem commodi laborum quaerat sunt est necessitatibus.,Open,
174,3355,,2253,2024-01-18,Order Accuracy,Sales Rep,Negative,Nisi necessitatibus repellat sed quos saepe illo ad architecto veniam quas suscipit minima ullam nisi hic perspiciatis veritatis.,Resolved,Velit nobis accusamus tenetur et nostrum natus cum enim numquam explicabo dolor.
215,3130,,2773,2024-01-27,Query,Sales Rep,Negative,Fuga tempora fuga nisi in voluptatum quas distinctio perferendis officia deserunt expedita.,In Progress,
275,3434,132.0,3781,2024-01-12,Sales Service,Phone,Positive,Itaque temporibus cupiditate accusamus tenetur soluta delectus a quisquam commodi cum autem adipisci vel tempora perspiciatis eius in at earum.,In Progress,
276,3435,160.0,3788,2024-01-13,Order Accuracy,Phone,Negative,Sunt quas suscipit magnam voluptas corrupti adipisci laboriosam consequatur sed accusamus deleniti beatae commodi pariatur fugiat quae delectus quibusdam enim.,Open,
281,3227,143.0,3855,2024-01-11,Sales Service,Whatsapp,Negative,Consequatur eligendi enim necessitatibus accusamus sit reprehenderit fugiat quos nihil quas necessitatibus ab dicta quidem deserunt.,In Progress,
311,3022,,4276,2024-01-05,Product Suggestion,Distributor Portal,Neutral,Consequatur unde nihil quo libero omnis ad earum commodi recusandae cum.,Resolved,Recusandae est ex laboriosam rerum vel.
313,3290,141.0,4320,2024-01-22,Order Accuracy,Whatsapp,Neutral,Quam facilis deleniti autem exercitationem quasi consequatur sed pariatur corporis consequuntur sapiente maxime cumque quisquam recusandae expedita.,Escalated,
