feedback_id,retailer_id,product_id,sale_id,feedback_date,feedback_type,channel,sentiment,description,status,resolution_details
34,3137,124.0,418,2025-06-12,Sales Service,Sales Rep,Neutral,Odit commodi sapiente suscipit accusamus voluptatibus reprehenderit culpa accusamus veritatis voluptas dolorem.,In Progress,
37,3208,131.0,429,2025-06-08,Order Accuracy,Distributor Portal,Positive,Explicabo ad saepe velit quam optio vero eum repellendus distinctio nobis deserunt labore nam quod deserunt architecto consequuntur voluptas.,Escalated,
42,3259,,530,2025-06-10,Quality Issue,Distributor Portal,Negative,Doloremque occaecati voluptatem praesentium aspernatur veritatis ipsum beatae sapiente.,Resolved,Accusamus delectus veritatis quae possimus commodi ea eos ea eaque in explicabo voluptates.
88,3367,140.0,1060,2025-06-02,Query,Sales Rep,Negative,Corporis a iste dolores fuga eveniet alias id nam veniam consequuntur aliquid molestias repellat ipsa autem dolore quae.,In Progress,
97,3146,104.0,1125,2025-06-01,Delivery Issue,Whatsapp,Negative,Modi sapiente similique amet nihil modi sed velit alias minus repellendus repellat.,Open,
98,3484,,1142,2025-06-22,Sales Service,Email,Negative,Itaque ipsa iusto blanditiis laborum ut expedita similique eum quis cupiditate cupiditate velit soluta aliquam sequi delectus odit placeat.,Resolved,Doloribus quis repudiandae eligendi facere iure nobis at dicta nobis.
102,3159,150.0,1218,2025-06-13,Complaint,Whatsapp,Neutral,Culpa cumque sapiente laborum vitae atque minus corrupti enim impedit harum beatae hic.,Open,
122,3108,149.0,1516,2025-06-27,Quality Issue,Sales Rep,Positive,Neque beatae voluptates blanditiis iusto in corporis itaque aut quod vitae nisi dolor quaerat.,In Progress,
125,3318,,1549,2025-06-21,Query,Sales Rep,Neutral,Laboriosam totam nihil non possimus architecto eum architecto occaecati blanditiis dolor ab dolore hic amet vero libero placeat consequuntur sunt.,Resolved,Sint hic id illum explicabo ullam officia ea eligendi est porro veniam similique.
127,3139,141.0,1561,2025-06-05,Sales Service,Whatsapp,Negative,Ex asperiores facere nesciunt provident eaque deleniti officiis voluptatum sint beatae voluptatum totam alias quod accusantium.,Open,
129,3196,101.0,1585,2025-06-08,Complaint,Distributor Portal,Negative,Commodi sed unde omnis id hic repellat expedita molestiae et natus tenetur.,Resolved,Recusandae odit quas suscipit cupiditate quaerat modi dignissimos deserunt nemo ipsum.
187,3488,,2379,2025-06-21,Product Suggestion,Whatsapp,Negative,Facilis amet distinctio distinctio aperiam quos consectetur id repellat.,Closed,Aperiam ad cumque culpa quas cupiditate porro voluptate enim nihil sit id assumenda.
262,3350,140.0,3568,2025-06-13,Complaint,Sales Rep,Neutral,Tempora tenetur est suscipit aut reprehenderit consequatur veniam expedita.,Resolved,Inventore modi repellendus optio rem hic.
278,3197,118.0,3795,2025-06-19,Quality Issue,Distributor Portal,Negative,Neque pariatur et nobis ex voluptatum molestias a quasi veniam quidem neque modi repellendus quod cum.,Escalated,
283,3184,157.0,3883,2025-06-12,Quality Issue,Sales Rep,Positive,Vel magni nobis porro modi reiciendis incidunt eos ipsum.,Closed,Numquam exercitationem earum temporibus iusto beatae rerum esse.
286,3308,126.0,3945,2025-06-26,Query,Whatsapp,Negative,Repudiandae sed aut non aspernatur libero blanditiis reprehenderit error distinctio odit similique.,In Progress,
402,3253,104.0,5483,2025-06-13,Sales Service,Distributor Portal,Negative,Totam dignissimos minus quia voluptatibus perferendis voluptates perferendis laborum ut provident soluta placeat asperiores voluptate perferendis ad aliquam quae modi.,In Progress,
420,3072,148.0,5774,2025-06-10,Sales Service,Distributor Portal,Neutral,Accusantium cupiditate est quia reprehenderit voluptates rem quidem aut nesciunt beatae maiores distinctio voluptatem.,Escalated,
429,3342,,5949,2025-06-17,Query,Whatsapp,Neutral,Perferendis excepturi totam cupiditate beatae et perspiciatis sit similique exercitationem.,Open,
449,3237,,6212,2025-06-08,Query,Distributor Portal,Neutral,Debitis cupiditate tempore eaque repudiandae ea quas porro autem.,Resolved,Veritatis sequi veniam in molestiae provident ex fugiat.
457,3051,,6304,2025-06-11,Delivery Issue,Distributor Portal,Neutral,Alias voluptatem alias non hic corrupti doloribus molestias assumenda error tempora similique unde.,In Progress,
459,3342,112.0,6334,2025-06-27,Product Suggestion,Whatsapp,Neutral,Cupiditate atque nulla perspiciatis quae optio veniam libero cum non animi sequi rem maxime iste.,Closed,Accusantium ab recusandae dignissimos minima sit placeat earum.
467,3456,158.0,6497,2025-06-04,Product Suggestion,Email,Positive,Optio quam magnam atque laboriosam enim odio reiciendis facilis facere impedit dignissimos porro corrupti quod.,Escalated,
