feedback_id,retailer_id,product_id,sale_id,feedback_date,feedback_type,channel,sentiment,description,status,resolution_details
4,3168,111.0,38,2024-06-20,Query,Email,Negative,Explicabo tempora consequuntur quasi impedit reiciendis voluptatem cumque adipisci iusto expedita sed id quisquam.,In Progress,
20,3244,115.0,198,2024-06-16,Delivery Issue,Distributor Portal,Neutral,Temporibus exercitationem ex eius possimus mollitia suscipit perferendis quas numquam ullam fugit.,Resolved,Error sed voluptas enim libero dolorum sunt molestiae quae.
25,3480,136.0,281,2024-06-21,Query,Email,Neutral,At ea nam quasi sapiente voluptatibus repudiandae tenetur assumenda autem expedita sapiente modi maxime sit illum.,In Progress,
39,3229,137.0,524,2024-06-20,Complaint,Sales Rep,Negative,Deserunt repudiandae minima debitis ad ducimus molestiae deleniti maiores ipsa reiciendis laudantium nobis vero.,In Progress,
77,3235,117.0,938,2024-06-27,Delivery Issue,Sales Rep,Positive,Voluptatum delectus quod omnis earum sequi quaerat incidunt voluptatem esse voluptates provident illum quae necessitatibus explicabo iusto animi.,In Progress,
86,3467,154.0,1030,2024-06-28,Product Suggestion,Email,Positive,Veniam quam alias unde sunt magni saepe reiciendis voluptate.,Closed,Quaerat quaerat earum quo numquam corrupti doloremque dolor.
119,3162,142.0,1476,2024-06-05,Query,Whatsapp,Neutral,Error enim eos explicabo nisi nisi sint quam nulla temporibus commodi nemo rerum dolores eaque numquam.,Open,
152,3072,134.0,1907,2024-06-28,Order Accuracy,Email,Negative,Necessitatibus vero praesentium laudantium consequatur nostrum voluptas harum odio et ut placeat.,Open,
198,3269,,2521,2024-06-13,Product Suggestion,Distributor Portal,Negative,Harum natus ullam quasi quasi sequi voluptatem ratione ut minima quaerat beatae.,Open,
226,3311,,2922,2024-06-12,Query,Email,Negative,Ab quia deleniti sapiente dignissimos eum voluptates voluptatibus delectus ipsa fugiat pariatur veniam voluptate quis eum.,Open,
229,3487,102.0,3069,2024-06-20,Sales Service,Email,Negative,Accusamus unde occaecati voluptatum delectus odit dignissimos harum vitae necessitatibus inventore in corporis eaque eos accusamus.,Resolved,Laboriosam nam nobis adipisci quae quis eius rerum amet.
244,3019,142.0,3242,2024-06-13,Sales Service,Whatsapp,Neutral,Libero molestiae esse nam sunt natus ut unde ut eligendi ut et.,Open,
301,3461,158.0,4206,2024-06-23,Quality Issue,Email,Positive,Aspernatur adipisci natus libero alias labore soluta neque officia ipsa.,Open,
318,3477,110.0,4399,2024-06-13,Quality Issue,Email,Neutral,Odit nulla cum culpa neque ipsa dolor doloribus in in aperiam accusantium tenetur sequi omnis consectetur ipsam quam.,Resolved,Dolores veniam quae voluptatem numquam quaerat voluptatem quae.
320,3226,104.0,4421,2024-06-27,Delivery Issue,Distributor Portal,Neutral,Repellat necessitatibus quisquam nesciunt fuga illo esse ipsa dignissimos vero minus debitis laboriosam officia quisquam eaque laborum reprehenderit deleniti.,Open,
324,3336,105.0,4455,2024-06-21,Delivery Issue,Distributor Portal,Positive,Animi aliquam et doloribus expedita ipsam odio rerum aut autem provident.,Resolved,Asperiores enim voluptate laboriosam error consectetur tenetur tenetur quod aspernatur possimus quia.
341,3405,127.0,4644,2024-06-14,Product Suggestion,Whatsapp,Positive,Nihil corporis autem aspernatur deleniti enim fuga tempora temporibus ex autem hic vero commodi a aspernatur ducimus rem unde.,Open,
376,3103,147.0,5164,2024-06-06,Order Accuracy,Sales Rep,Positive,Quas reprehenderit earum quasi adipisci corrupti et consequatur animi porro commodi reiciendis distinctio in adipisci ea in officiis quisquam.,Resolved,Voluptate dolorum id voluptatibus corporis accusamus velit natus dolores nihil.
472,3107,126.0,6600,2024-06-21,Sales Service,Email,Positive,Ducimus numquam perspiciatis tenetur deleniti neque a enim adipisci soluta eius neque beatae officiis provident at quam illo deleniti.,Escalated,
473,3408,,6602,2024-06-30,Order Accuracy,Distributor Portal,Positive,Quas eligendi impedit ducimus dolorem hic a ut blanditiis omnis deserunt sit provident.,In Progress,
511,3211,116.0,7039,2024-06-23,Order Accuracy,Email,Neutral,Quia dolorem occaecati assumenda similique tempore in distinctio voluptas accusamus a velit facere.,Resolved,In blanditiis voluptate ipsa provident id quia optio porro.
556,3056,136.0,7677,2024-06-04,Order Accuracy,Sales Rep,Positive,Cupiditate porro nemo veniam ducimus dolore consectetur velit magnam aliquid explicabo a.,Open,
561,3233,111.0,7760,2024-06-15,Sales Service,Phone,Negative,Totam distinctio optio fuga molestiae quas adipisci veniam aliquid doloremque.,Resolved,Corrupti esse architecto facere praesentium ea debitis magnam occaecati non atque tenetur.
579,3185,,8006,2024-06-14,Delivery Issue,Whatsapp,Neutral,Impedit quo repellat incidunt porro blanditiis mollitia itaque ut nesciunt fugit.,Resolved,Fuga nemo mollitia incidunt a distinctio officia amet itaque adipisci recusandae quis quod.
581,3004,118.0,8016,2024-06-03,Query,Phone,Positive,Ut itaque sit aliquam ad saepe esse provident quis incidunt commodi nihil.,Open,
587,3334,136.0,8044,2024-06-07,Quality Issue,Phone,Neutral,Architecto eligendi provident commodi maiores dolorum sit iure sint occaecati hic et iure cupiditate quisquam quasi.,Closed,Vel odio iure maiores eaque omnis voluptas harum.
598,3334,138.0,8160,2024-06-08,Quality Issue,Distributor Portal,Negative,Aperiam sit vitae itaque facilis ipsam similique tempore adipisci amet hic nemo reprehenderit quod.,Escalated,
614,3338,153.0,8306,2024-06-08,Quality Issue,Distributor Portal,Negative,Reiciendis distinctio totam perspiciatis doloribus unde suscipit provident quas fugit esse qui veniam quia dolore dolorum ex.,Open,
618,3112,130.0,8383,2024-06-14,Query,Phone,Positive,Laboriosam recusandae sed cupiditate libero exercitationem atque facilis placeat nam ratione atque est excepturi vel porro quasi nam corporis.,Open,
666,3018,127.0,9024,2024-06-16,Product Suggestion,Whatsapp,Neutral,Natus adipisci voluptatem impedit consectetur perferendis dolore deserunt cupiditate incidunt corrupti vitae natus aperiam pariatur doloremque ducimus quidem deserunt.,Open,
698,3017,107.0,9371,2024-06-18,Sales Service,Sales Rep,Negative,Magnam labore consectetur adipisci minus dolor veritatis eos aliquid asperiores esse tempora adipisci aliquam cum qui nemo reiciendis cumque magnam.,Escalated,
718,3308,161.0,9638,2024-06-09,Complaint,Sales Rep,Positive,Veritatis distinctio maiores dolorum facilis corrupti exercitationem atque earum eum harum consequuntur est quia.,Resolved,Nesciunt possimus odit minima reprehenderit voluptatum delectus.
736,3011,145.0,9865,2024-06-21,Sales Service,Whatsapp,Neutral,Consequuntur cum cum excepturi sapiente dolore eveniet ex exercitationem ipsa asperiores ut mollitia itaque ullam nihil veritatis exercitationem.,Escalated,
757,3214,102.0,10179,2024-06-18,Complaint,Distributor Portal,Neutral,Provident quos sint architecto sint eos totam nisi reprehenderit necessitatibus sapiente libero dignissimos est rem deserunt repellendus quod.,Open,
768,3254,,10340,2024-06-24,Product Suggestion,Sales Rep,Neutral,Iusto dolorem unde nihil placeat sed ad quod quia temporibus distinctio reiciendis nostrum voluptatibus expedita.,Open,
