sale_id,retailer_id,product_id,sale_date,quantity_sold,unit_selling_price,gross_sale_value,discount_amount,net_sale_value,promotion_id,payment_method,distribution_channel,invoice_number
4,3215,110,2024-05-24,474,280.0,132720.0,0.0,132720.0,,Cheque,Modern Trade,INV-009007-8327
43,3322,159,2024-05-29,482,35.0,16870.0,0.0,16870.0,,UPI,E-commerce,INV-391384-2333
61,3324,137,2024-05-31,64,95.0,6080.0,0.0,6080.0,,UPI,General Trade,INV-204550-3558
62,3352,160,2024-05-23,754,45.0,33930.0,0.0,33930.0,,UPI,Modern Trade,INV-311626-0422
115,3209,110,2024-05-19,1544,280.0,432320.0,0.0,432320.0,,Credit,E-commerce,INV-399927-2750
117,3015,129,2024-05-12,1631,50.0,81550.0,0.0,81550.0,,Cheque,Wholesale Distributor,INV-351359-1779
144,3186,153,2024-05-28,1453,25.0,36325.0,0.0,36325.0,,UPI,Wholesale Distributor,INV-456857-9386
156,3268,137,2024-05-29,310,95.0,29450.0,0.0,29450.0,,Credit,E-commerce,INV-079875-8768
160,3054,121,2024-05-22,1886,160.0,301760.0,0.0,301760.0,,Cash,Modern Trade,INV-792012-8150
163,3495,129,2024-05-03,90,50.0,4500.0,0.0,4500.0,,UPI,General Trade,INV-347965-6994
189,3114,126,2024-05-28,15,650.0,9750.0,0.0,9750.0,,Cheque,General Trade,INV-635731-4758
191,3031,109,2024-05-28,1347,190.0,255930.0,0.0,255930.0,,UPI,E-commerce,INV-763137-5362
197,3316,134,2024-05-27,754,290.0,218660.0,0.0,218660.0,,Credit,Modern Trade,INV-754372-2249
198,3244,115,2024-05-13,454,20.0,9080.0,0.0,9080.0,,Bank Transfer,Modern Trade,INV-316638-1268
275,3029,123,2024-05-10,791,60.0,47460.0,0.0,47460.0,,Cheque,E-commerce,INV-511852-6669
281,3480,136,2024-05-23,562,40.0,22480.0,0.0,22480.0,,Bank Transfer,Modern Trade,INV-106998-8282
356,3458,109,2024-05-10,1151,190.0,218690.0,0.0,218690.0,,Cash,E-commerce,INV-587329-2779
366,3033,150,2024-05-06,994,150.0,149100.0,0.0,149100.0,,Cash,Modern Trade,INV-994847-1653
414,3246,127,2024-05-01,111,380.0,42180.0,0.0,42180.0,,Cash,General Trade,INV-498648-9020
478,3186,116,2024-05-10,1104,75.0,82800.0,0.0,82800.0,,Bank Transfer,Wholesale Distributor,INV-716628-0654
495,3097,153,2024-05-06,1507,25.0,37675.0,0.0,37675.0,,UPI,Modern Trade,INV-238642-0262
504,3011,106,2024-05-10,176,46.16,9680.0,1555.58,8124.42,508.0,Bank Transfer,General Trade,INV-334751-6102
508,3161,143,2024-05-30,55,120.0,6600.0,0.0,6600.0,,Bank Transfer,General Trade,INV-036415-8582
511,3145,158,2024-05-31,281,30.0,8430.0,0.0,8430.0,,Credit,General Trade,INV-843483-3954
517,3073,125,2024-05-28,1602,350.0,560700.0,0.0,560700.0,,Credit,Modern Trade,INV-270002-3816
560,3081,143,2024-05-05,907,120.0,108840.0,0.0,108840.0,,Cash,Modern Trade,INV-747855-2322
709,3299,149,2024-05-22,1537,150.0,230550.0,0.0,230550.0,,Bank Transfer,Wholesale Distributor,INV-028293-3915
732,3113,153,2024-05-12,263,25.0,6575.0,0.0,6575.0,,Cheque,E-commerce,INV-210308-7524
800,3129,117,2024-05-02,1276,140.0,178640.0,0.0,178640.0,,Credit,E-commerce,INV-098440-4005
914,3158,136,2024-05-24,1648,40.0,65920.0,0.0,65920.0,,Cheque,Modern Trade,INV-508827-4402
938,3235,117,2024-05-20,102,140.0,14280.0,0.0,14280.0,,Cheque,General Trade,INV-728841-8354
945,3129,144,2024-05-03,1533,125.0,191625.0,0.0,191625.0,,Cheque,E-commerce,INV-172889-0416
970,3013,123,2024-05-06,618,60.0,37080.0,0.0,37080.0,,Bank Transfer,E-commerce,INV-741394-1216
978,3467,129,2024-05-25,427,50.0,21350.0,0.0,21350.0,,Cheque,E-commerce,INV-415725-3849
999,3118,124,2024-05-15,265,180.0,47700.0,0.0,47700.0,,Cheque,Modern Trade,INV-964534-6187
1064,3103,109,2024-05-15,1202,190.0,228380.0,0.0,228380.0,,Bank Transfer,Modern Trade,INV-702042-8268
1068,3236,102,2024-05-29,443,8.0,3544.0,0.0,3544.0,,UPI,Modern Trade,INV-461577-9165
1090,3413,156,2024-05-25,110,220.0,24200.0,0.0,24200.0,,Bank Transfer,General Trade,INV-870007-8092
1108,3483,127,2024-05-25,309,380.0,117420.0,0.0,117420.0,,Bank Transfer,Modern Trade,INV-308836-5109
1114,3215,105,2024-05-27,1243,35.0,43505.0,0.0,43505.0,,Cheque,Modern Trade,INV-574202-0466
1118,3310,101,2024-05-31,1567,5.0,7835.0,0.0,7835.0,,Cheque,Modern Trade,INV-089147-9633
1123,3462,144,2024-05-19,160,125.0,20000.0,0.0,20000.0,,Cash,General Trade,INV-484162-6084
1139,3381,140,2024-05-23,703,95.0,66785.0,0.0,66785.0,,Credit,Modern Trade,INV-890722-6920
1155,3086,161,2024-05-22,53,71.48,4240.0,451.56,3788.44,509.0,Bank Transfer,General Trade,INV-248989-3123
1161,3464,127,2024-05-25,1724,380.0,655120.0,0.0,655120.0,,Bank Transfer,E-commerce,INV-421212-2591
1170,3401,157,2024-05-30,986,30.0,29580.0,0.0,29580.0,,Cash,Modern Trade,INV-175953-4480
1214,3080,109,2024-05-26,101,190.0,19190.0,0.0,19190.0,,Cash,General Trade,INV-704608-3404
1224,3056,116,2024-05-26,319,75.0,23925.0,0.0,23925.0,,Bank Transfer,Modern Trade,INV-672854-7148
1229,3119,110,2024-05-25,125,280.0,35000.0,0.0,35000.0,,Cheque,General Trade,INV-730872-2247
1239,3376,143,2024-05-28,2509,120.0,301080.0,0.0,301080.0,,UPI,Wholesale Distributor,INV-800884-9723
1257,3234,117,2024-05-18,1311,140.0,183540.0,0.0,183540.0,,Cash,Modern Trade,INV-450115-7943
1293,3161,103,2024-05-05,196,12.0,2352.0,0.0,2352.0,,Cheque,General Trade,INV-940304-9682
1361,3381,146,2024-05-09,1904,260.0,495040.0,0.0,495040.0,,Bank Transfer,Modern Trade,INV-410964-9968
1422,3385,126,2024-05-20,1163,650.0,755950.0,0.0,755950.0,,UPI,Modern Trade,INV-908969-7512
1474,3447,101,2024-05-10,1486,5.0,7430.0,0.0,7430.0,,Cash,Wholesale Distributor,INV-680168-3512
1475,3085,112,2024-05-19,237,205.0,48585.0,0.0,48585.0,,UPI,Modern Trade,INV-291972-1007
1476,3162,142,2024-05-12,720,95.0,68400.0,0.0,68400.0,,Cash,Modern Trade,INV-980512-9046
1530,3275,125,2024-05-17,1691,350.0,591850.0,0.0,591850.0,,Bank Transfer,Modern Trade,INV-645011-0169
1536,3279,154,2024-05-14,698,100.0,69800.0,0.0,69800.0,,Credit,E-commerce,INV-385920-5534
1539,3018,154,2024-05-15,1197,100.0,119700.0,0.0,119700.0,,Cash,Modern Trade,INV-532738-3794
1614,3014,139,2024-05-12,1237,40.0,49480.0,0.0,49480.0,,Credit,Modern Trade,INV-283263-2208
1684,3265,136,2024-05-26,167,40.0,6680.0,0.0,6680.0,,Cash,General Trade,INV-281993-8783
1710,3455,124,2024-05-29,15,180.0,2700.0,0.0,2700.0,,UPI,General Trade,INV-079124-2168
1726,3177,115,2024-05-23,170,20.0,3400.0,0.0,3400.0,,Cheque,General Trade,INV-609998-3471
1736,3250,131,2024-05-27,774,170.0,131580.0,0.0,131580.0,,UPI,Modern Trade,INV-373276-7086
1795,3113,109,2024-05-29,1922,190.0,365180.0,0.0,365180.0,,UPI,E-commerce,INV-592410-1128
1814,3115,157,2024-05-21,424,30.0,12720.0,0.0,12720.0,,Cheque,General Trade,INV-493667-7940
1907,3072,134,2024-05-16,2109,290.0,611610.0,0.0,611610.0,,Cheque,Wholesale Distributor,INV-524133-2399
1931,3270,140,2024-05-15,176,95.0,16720.0,0.0,16720.0,,Cheque,Modern Trade,INV-708294-5929
1939,3133,146,2024-05-07,1627,260.0,423020.0,0.0,423020.0,,Cash,Modern Trade,INV-256510-3079
2032,3006,118,2024-05-02,1659,195.0,323505.0,0.0,323505.0,,Cheque,Wholesale Distributor,INV-922019-5509
2042,3397,127,2024-05-10,196,380.0,74480.0,0.0,74480.0,,Credit,E-commerce,INV-112519-8501
2050,3445,158,2024-05-17,904,30.0,27120.0,0.0,27120.0,,UPI,E-commerce,INV-026209-9232
2063,3476,104,2024-05-08,273,18.0,4914.0,0.0,4914.0,,Credit,General Trade,INV-756259-5883
2081,3285,161,2024-05-17,293,71.48,23440.0,2496.36,20943.64,509.0,Cash,Wholesale Distributor,INV-934721-6908
2086,3404,121,2024-05-23,64,160.0,10240.0,0.0,10240.0,,Cash,General Trade,INV-295959-5044
2099,3275,126,2024-05-30,385,650.0,250250.0,0.0,250250.0,,Credit,Modern Trade,INV-787607-5984
2110,3055,150,2024-05-23,1884,150.0,282600.0,0.0,282600.0,,Credit,Wholesale Distributor,INV-385081-0429
2236,3413,160,2024-05-11,179,45.0,8055.0,0.0,8055.0,,Bank Transfer,General Trade,INV-441690-6493
2262,3336,152,2024-05-04,129,255.0,32895.0,0.0,32895.0,,Cash,General Trade,INV-029104-6523
2369,3397,108,2024-05-09,383,160.0,61280.0,0.0,61280.0,,Cheque,E-commerce,INV-517930-3159
2373,3095,127,2024-05-10,392,380.0,148960.0,0.0,148960.0,,Cash,Modern Trade,INV-123562-7422
2381,3003,127,2024-05-15,625,380.0,237500.0,0.0,237500.0,,Cash,Modern Trade,INV-281663-0478
2432,3447,147,2024-05-26,934,280.0,261520.0,0.0,261520.0,,Bank Transfer,Wholesale Distributor,INV-426977-6936
2441,3231,123,2024-05-03,2493,60.0,149580.0,0.0,149580.0,,Bank Transfer,Wholesale Distributor,INV-944603-5667
2449,3495,106,2024-05-07,29,46.16,1595.0,256.32,1338.68,508.0,UPI,General Trade,INV-197232-6140
2463,3152,145,2024-05-13,362,250.0,90500.0,0.0,90500.0,,Bank Transfer,E-commerce,INV-103236-3202
2488,3279,158,2024-05-25,421,30.0,12630.0,0.0,12630.0,,Bank Transfer,E-commerce,INV-483412-4574
2504,3423,130,2024-05-15,1330,90.0,119700.0,0.0,119700.0,,Cash,Modern Trade,INV-291800-8121
2506,3171,124,2024-05-13,873,180.0,157140.0,0.0,157140.0,,UPI,Modern Trade,INV-085042-6936
2520,3467,104,2024-05-30,1780,18.0,32040.0,0.0,32040.0,,UPI,E-commerce,INV-783737-7538
2521,3269,128,2024-05-02,1934,398.0,769732.0,0.0,769732.0,,Cash,E-commerce,INV-309037-4314
2526,3193,151,2024-05-18,1390,199.0,276610.0,0.0,276610.0,,Cheque,Modern Trade,INV-514806-9677
2542,3071,159,2024-05-16,1017,35.0,35595.0,0.0,35595.0,,Credit,E-commerce,INV-334047-9807
2568,3290,111,2024-05-12,751,450.0,337950.0,0.0,337950.0,,UPI,E-commerce,INV-846048-7637
2596,3100,156,2024-05-19,157,220.0,34540.0,0.0,34540.0,,Bank Transfer,General Trade,INV-047043-0316
2605,3201,133,2024-05-22,1307,180.0,235260.0,0.0,235260.0,,UPI,E-commerce,INV-435001-3473
2622,3185,126,2024-05-05,134,650.0,87100.0,0.0,87100.0,,Bank Transfer,Modern Trade,INV-566078-3143
2628,3147,108,2024-05-25,683,160.0,109280.0,0.0,109280.0,,Cash,Wholesale Distributor,INV-942970-4599
2630,3108,104,2024-05-26,2807,18.0,50526.0,0.0,50526.0,,Credit,Wholesale Distributor,INV-963810-8655
2641,3220,157,2024-05-07,614,30.0,18420.0,0.0,18420.0,,Bank Transfer,Modern Trade,INV-514456-1539
2649,3496,140,2024-05-25,13,95.0,1235.0,0.0,1235.0,,Cash,General Trade,INV-095775-9172
2666,3118,124,2024-05-29,1119,180.0,201420.0,0.0,201420.0,,UPI,Modern Trade,INV-951109-9946
2671,3138,130,2024-05-23,1058,90.0,95220.0,0.0,95220.0,,UPI,Modern Trade,INV-355508-0386
2723,3340,101,2024-05-03,1431,5.0,7155.0,0.0,7155.0,,Credit,Modern Trade,INV-528331-6872
2734,3085,129,2024-05-05,707,50.0,35350.0,0.0,35350.0,,Credit,Modern Trade,INV-573397-0297
2837,3107,146,2024-05-06,62,260.0,16120.0,0.0,16120.0,,UPI,E-commerce,INV-804686-4840
2877,3159,150,2024-05-28,786,150.0,117900.0,0.0,117900.0,,UPI,Modern Trade,INV-820522-0426
2952,3476,156,2024-05-24,157,220.0,34540.0,0.0,34540.0,,Cash,General Trade,INV-963673-0099
2983,3303,126,2024-05-22,282,650.0,183300.0,0.0,183300.0,,UPI,Modern Trade,INV-108121-0702
3028,3086,107,2024-05-04,35,120.0,4200.0,0.0,4200.0,,UPI,General Trade,INV-234063-7725
3051,3174,142,2024-05-13,2921,95.0,277495.0,0.0,277495.0,,Cheque,Wholesale Distributor,INV-884151-4993
3067,3317,145,2024-05-19,715,250.0,178750.0,0.0,178750.0,,Cheque,E-commerce,INV-715796-0173
3122,3254,138,2024-05-08,866,120.0,103920.0,0.0,103920.0,,Credit,Modern Trade,INV-230506-0541
3198,3268,123,2024-05-21,681,60.0,40860.0,0.0,40860.0,,Credit,E-commerce,INV-578034-7611
3221,3061,109,2024-05-02,510,190.0,96900.0,0.0,96900.0,,Bank Transfer,Modern Trade,INV-447415-1813
3233,3385,151,2024-05-15,1613,199.0,320987.0,0.0,320987.0,,Credit,Modern Trade,INV-248832-9998
3242,3019,142,2024-05-18,2066,95.0,196270.0,0.0,196270.0,,Credit,Wholesale Distributor,INV-958115-0559
3245,3255,137,2024-05-12,1892,95.0,179740.0,0.0,179740.0,,Bank Transfer,Modern Trade,INV-380369-4737
3254,3300,116,2024-05-19,2740,75.0,205500.0,0.0,205500.0,,Bank Transfer,Wholesale Distributor,INV-390114-7620
3273,3496,133,2024-05-01,21,180.0,3780.0,0.0,3780.0,,Bank Transfer,General Trade,INV-483591-7243
3302,3219,142,2024-05-07,1284,95.0,121980.0,0.0,121980.0,,Credit,Modern Trade,INV-709330-4694
3306,3353,113,2024-05-18,102,210.0,21420.0,0.0,21420.0,,Cheque,Modern Trade,INV-900322-8444
3441,3259,154,2024-05-13,671,100.0,67100.0,0.0,67100.0,,UPI,E-commerce,INV-981776-7700
