feedback_id,retailer_id,product_id,sale_id,feedback_date,feedback_type,channel,sentiment,description,status,resolution_details
6,3391,,44,2025-03-03,Product Suggestion,Phone,Neutral,Commodi consequuntur ad optio voluptatibus aspernatur dolore commodi suscipit occaecati officia.,Escalated,
29,3456,152.0,334,2025-03-12,Order Accuracy,Sales Rep,Neutral,Dolore beatae temporibus cupiditate quae esse nobis necessitatibus distinctio deserunt reprehenderit animi quo adipisci quae ab eos itaque natus harum.,Escalated,
56,3182,152.0,650,2025-03-01,Product Suggestion,Distributor Portal,Neutral,Quo veniam voluptatibus officia quo natus laborum enim molestias quos.,Closed,Inventore nulla veniam nostrum ducimus numquam perspiciatis soluta.
91,3222,,1085,2025-03-27,Quality Issue,Distributor Portal,Positive,Soluta molestiae maxime saepe accusantium magnam aut sequi repellat quaerat provident aperiam harum earum assumenda similique.,Open,
106,3367,,1306,2025-03-09,Product Suggestion,Phone,Positive,Quo debitis mollitia praesentium occaecati ad dolor ratione inventore repellendus unde dolorum quo.,Closed,Occaecati sunt saepe cupiditate tempora ut suscipit consequatur ex molestias facere consectetur.
149,3341,112.0,1852,2025-03-08,Delivery Issue,Phone,Positive,Distinctio accusantium ipsa inventore ipsa nulla totam nulla adipisci ducimus necessitatibus ea reprehenderit numquam.,In Progress,
155,3216,161.0,1959,2025-03-04,Sales Service,Email,Neutral,Vero temporibus at maxime sit laboriosam eum odit eius maiores beatae aliquam sapiente tempore ad consequatur quasi tenetur aliquam.,Open,
190,3148,102.0,2462,2025-03-26,Sales Service,Phone,Negative,Libero quisquam facilis illo dicta occaecati laudantium odio illo fuga rerum quibusdam ea nulla saepe iure perferendis sunt vitae.,Closed,Quod suscipit facilis maxime optio et ipsa ipsa reprehenderit.
191,3474,157.0,2465,2025-03-13,Complaint,Sales Rep,Negative,Blanditiis saepe reprehenderit quisquam necessitatibus commodi aliquid explicabo cumque beatae laborum magni iusto nisi pariatur quo fuga non.,Closed,Quae neque pariatur delectus molestiae maxime ab pariatur quidem architecto corrupti debitis.
200,3195,141.0,2537,2025-03-27,Complaint,Whatsapp,Positive,Recusandae aliquam eius aliquam rem facere unde neque consectetur nobis.,Escalated,
241,3343,,3224,2025-03-01,Query,Phone,Neutral,Quas consequatur sint quas autem recusandae autem hic itaque.,Resolved,Ipsum maxime porro reprehenderit neque fugit consequatur voluptatem enim dolore explicabo architecto.
269,3472,,3725,2025-03-25,Complaint,Email,Neutral,Quibusdam veniam sit repellendus occaecati omnis harum facilis mollitia assumenda labore itaque asperiores consequatur hic nisi nemo.,Closed,Magnam tempore iusto aliquid quisquam cumque praesentium quo laborum esse laborum.
280,3020,151.0,3836,2025-03-11,Complaint,Whatsapp,Negative,Distinctio earum eligendi sint ad nemo iusto explicabo ex ipsa veritatis modi nostrum illo ipsum laudantium minus maiores quia.,Open,
336,3262,118.0,4598,2025-03-02,Quality Issue,Phone,Negative,Aliquam facilis quibusdam sunt possimus corrupti quam consequatur dolores cum sint voluptate laboriosam ex sequi hic voluptates odio delectus.,Closed,Dolorum fuga praesentium corrupti sint velit delectus sunt sunt.
413,3276,152.0,5679,2025-03-27,Quality Issue,Whatsapp,Neutral,Aliquid vero veniam animi aliquam iste eos cumque laboriosam sed dolor.,Closed,Reprehenderit quis odit hic quidem distinctio.
