feedback_id,retailer_id,product_id,sale_id,feedback_date,feedback_type,channel,sentiment,description,status,resolution_details
44,3451,159.0,555,2024-11-15,Quality Issue,Whatsapp,Neutral,Quibusdam ad numquam totam minima amet ut tempore impedit necessitatibus nam deserunt fugit ipsam quaerat vero a.,Escalated,
50,3302,154.0,615,2024-11-23,Quality Issue,Email,Positive,Nostrum sed repellendus ratione ea perferendis illum ducimus modi voluptatibus accusantium molestiae reprehenderit quaerat aut recusandae.,Closed,At praesentium dolorem ab labore soluta aperiam doloribus.
196,3004,108.0,2509,2024-11-09,Sales Service,Distributor Portal,Positive,Odio sit harum error vel vero sint veritatis totam odit amet temporibus enim quisquam corporis.,In Progress,
251,3066,104.0,3376,2024-11-08,Delivery Issue,Distributor Portal,Negative,Illum iste incidunt autem nisi eveniet voluptates recusandae deleniti omnis veniam reiciendis deserunt nobis ea iste unde expedita cum tenetur.,Escalated,
279,3143,113.0,3818,2024-11-26,Complaint,Phone,Positive,Omnis magnam rem vero eos distinctio omnis at cum quisquam excepturi sequi eaque perspiciatis repellendus nulla unde itaque iste.,Closed,Saepe illum eaque necessitatibus tempore sapiente.
296,3343,161.0,4148,2024-11-18,Query,Whatsapp,Negative,Veritatis dolores iusto ratione vero velit inventore vitae maiores id quia a ullam assumenda voluptas voluptas beatae dolorum saepe.,In Progress,
326,3179,104.0,4475,2024-11-17,Complaint,Phone,Neutral,Repellendus doloremque quibusdam velit neque tenetur tempora quaerat quasi officia non autem alias voluptas laboriosam explicabo magnam nisi.,Open,
333,3488,,4571,2024-11-29,Product Suggestion,Distributor Portal,Negative,Dignissimos modi doloribus dicta odio eius impedit odio ipsam reiciendis maiores quae sed nesciunt iusto ducimus labore.,Open,
371,3366,,5073,2024-11-22,Delivery Issue,Email,Neutral,Illum eos adipisci ullam aperiam cum mollitia pariatur inventore magni inventore porro.,Resolved,Voluptas nostrum atque odit quidem veniam dignissimos cupiditate architecto adipisci illum.
382,3299,,5213,2024-11-10,Quality Issue,Email,Neutral,Necessitatibus corporis quaerat officiis quibusdam officiis magnam asperiores corporis illum ullam et vero.,Open,
386,3276,130.0,5291,2024-11-29,Query,Email,Negative,Quaerat cupiditate praesentium ipsum occaecati autem laborum numquam consequatur at corrupti tempore aperiam enim fugiat tenetur eaque earum distinctio tempora.,In Progress,
