feedback_id,retailer_id,product_id,sale_id,feedback_date,feedback_type,channel,sentiment,description,status,resolution_details
63,3463,130.0,734,2024-08-31,Complaint,Sales Rep,Positive,Dignissimos suscipit quo at praesentium repudiandae sed voluptate libero vel numquam harum reprehenderit eaque.,Closed,Excepturi non molestiae earum dolorum consequuntur.
64,3151,118.0,752,2024-08-07,Query,Whatsapp,Neutral,Minima odit mollitia libero dolores excepturi eos corporis sunt illo accusantium minima iure.,Open,
203,3203,149.0,2590,2024-08-18,Order Accuracy,Whatsapp,Neutral,Ratione molestias eveniet labore explicabo nobis quidem harum voluptate quo eum laborum in tempora nam porro.,Escalated,
210,3186,,2673,2024-08-23,Delivery Issue,Email,Neutral,Dolore fugit quia sint iure natus reiciendis hic provident.,Open,
218,3387,149.0,2824,2024-08-31,Delivery Issue,Sales Rep,Neutral,Fuga cumque corrupti aperiam magnam minus non deleniti incidunt harum quod quaerat fugiat quam.,In Progress,
238,3197,,3199,2024-08-03,Product Suggestion,Email,Negative,Dolores impedit inventore architecto iste facere facere ad harum dolorem tenetur cupiditate cum repudiandae alias deserunt eius repudiandae dolores.,Closed,Nisi unde iure natus nam amet illum expedita modi.
246,3091,103.0,3249,2024-08-31,Complaint,Distributor Portal,Positive,Repellat nam aliquid aliquam magnam quisquam doloribus fuga praesentium ad atque iste magni nesciunt nesciunt quas consectetur modi.,Open,
247,3375,,3265,2024-08-28,Query,Sales Rep,Positive,Quasi quos fuga tempore beatae quod incidunt vitae minima ea labore est beatae.,Escalated,
264,3433,131.0,3678,2024-08-15,Complaint,Phone,Positive,Quos quidem amet velit omnis commodi ab quos accusamus quibusdam dignissimos earum voluptatem iure aut illum nisi fuga.,Escalated,
274,3033,149.0,3773,2024-08-31,Delivery Issue,Distributor Portal,Neutral,Ratione libero autem eveniet odio reprehenderit beatae natus vero praesentium reiciendis corrupti sequi quasi quod cumque illo inventore.,Resolved,Temporibus enim assumenda omnis corrupti blanditiis harum ex aut repellendus esse blanditiis culpa.
282,3064,,3873,2024-08-21,Complaint,Distributor Portal,Negative,Omnis culpa atque reprehenderit similique facere dolorem placeat tempora repellendus inventore.,Resolved,Voluptates aperiam molestiae reiciendis quae aperiam fugiat minus tempora tempore.
284,3289,107.0,3887,2024-08-09,Order Accuracy,Distributor Portal,Neutral,Aspernatur molestias fugiat voluptate quaerat quae dolorem nemo deleniti error tenetur cum recusandae consequuntur.,Closed,Vero quae ea dolore dolorem eligendi et veniam molestias optio ullam ipsum excepturi.
292,3446,142.0,4083,2024-08-04,Product Suggestion,Whatsapp,Neutral,Ipsam incidunt quod quia quam voluptatibus totam eveniet nulla.,Open,
307,3494,128.0,4231,2024-08-04,Complaint,Whatsapp,Positive,Recusandae quae odit alias vel ad facere id ab deserunt odit ipsum.,Escalated,
338,3364,113.0,4616,2024-08-22,Product Suggestion,Distributor Portal,Positive,Ipsum eius aliquid magnam placeat quasi possimus sed sint error vitae similique rerum eveniet fuga corporis nam iste fugit explicabo.,Escalated,
396,3283,138.0,5420,2024-08-27,Complaint,Phone,Negative,Maiores illo porro eaque natus fugit minima repudiandae rem harum veniam sed odio molestiae modi quasi.,Escalated,
410,3274,,5582,2024-08-20,Sales Service,Distributor Portal,Neutral,Eaque ad sint cumque quia quisquam similique asperiores voluptate officiis sed laboriosam similique doloremque illo eligendi beatae magni.,Closed,Eaque laborum beatae dolorum suscipit iusto.
